FID,LSOA21CD,GlobalID,x,y
1,E01000001,38ad8fe8-682a-4533-b51a-16c9ca366294,-0.096245947,51.51953802
2,E01018945,0681c038-f7dd-4a2e-83c1-c8d3b32443f6,-4.781041821,50.45751414
3,E01000120,e5ffc70b-0e24-40a9-afe8-13da1ec4032e,-0.140059492,51.63216093
4,E01031487,17c7f13f-1a6a-45c5-a5cc-2c50e725c799,-0.775551123,50.85576964
5,E01021013,f55e8508-e975-4025-896c-a270de41fc79,0.603293513,50.87309348
6,E01023096,70aa5db0-c94c-4f58-b3c8-8d2b22481a40,-0.749376007,51.29423448
7,E01009311,7870373f-0e3a-4c12-bc57-7dcd9a6be0c5,-1.792287558,52.48512299
8,E01002870,c763cab4-21f0-438e-a644-0fda6d16e181,-0.215734648,51.5105562
9,E01004752,84c582a6-21ec-4539-b947-726d47081b42,-0.140117259,51.48939666
10,E01024004,6bc371b6-5cf2-484a-ab40-28b93f012bca,0.907349448,51.14410299
11,E01030357,95f50d4d-340d-4ade-bbbb-6e83ab4a02ec,-0.420888423,51.3891773
12,E01004277,10fb8fe1-c134-4adc-94ad-dad20c34362f,-0.02591585,51.50670199
13,E01031691,68ce4cb2-5ab5-4e07-9ae3-f2419d65b222,-0.333795536,51.0672595
14,E01016480,b0cbe375-9ab7-4a8c-ada3-dfb5b25b4fa3,-0.533797524,51.4867418
15,E01020992,bd73c660-9a2e-40b9-ae93-24199e9f938b,0.560151665,50.85937418
16,E01024314,68e2c9b3-3c4f-400b-9682-1713f2e83044,0.382439094,51.42839798
17,E01002740,cf93a4da-d337-4f8c-9c70-76814e0d10bf,-0.101984903,51.54814264
18,E01031796,44fe648a-ca5c-4698-92e9-e403ca14dd95,-0.382902588,50.8198423
19,E01029127,2f756d9b-17a0-4a59-936b-c4bd8c41cb23,-2.778378332,51.27637347
20,E01014512,5e776c0d-c7f8-4502-977c-513085c2ddd2,-2.588062708,51.47604246
21,E01000250,9f6fadc5-ea6c-406d-9656-9c3d29a76797,-0.198583684,51.65447323
22,E01004417,fe54cdba-b419-4420-b376-3f26eecbf7d9,-0.014528187,51.61338518
23,E01000633,24e23f15-cee7-4cda-867c-c8d1848ce5b4,-0.299530031,51.5493606
24,E01001354,bffb9ae1-b230-4e3b-b6ec-f62941e34b92,-0.279764405,51.50734038
25,E01016381,9a0849cd-d97f-4ae5-82e1-007dcc28d58a,-1.021680817,51.46275755
26,E01001712,a0dfaba4-f558-43b1-859b-505686a90745,0.056433925,51.4928199
27,E01024028,8076a2cb-b8e7-47cb-875d-61a2e8585ff8,0.853694914,51.14333697
28,E01002751,cf208f88-f498-4b9f-a2f0-387585b0309a,-0.111410362,51.55688554
29,E01021221,76afc0c4-dafe-4a1a-983d-747129fe8366,0.096440748,50.96593399
30,E01033132,d664e690-6e39-4b19-92f3-438c8608edba,-0.146372579,51.48194806
31,E01003901,e58b7d0a-85bc-4fd1-9bfc-6c300b020d09,-0.356765706,51.4449338
32,E01021117,61a091a7-4d30-436d-ac28-a99b7e562de7,0.73592677,50.95375448
33,E01002733,b41a77e4-25ac-409d-b308-ae08a77e7f01,-0.120265404,51.56151159
34,E01002289,088643db-8558-4d50-beb1-2384f70c07b6,0.232436574,51.55577113
35,E01021165,00712ec9-0be7-47eb-a1fb-0343b9345e5e,0.064494574,50.94272037
36,E01014555,7fbd7749-9219-4f4a-860a-46fd889078fa,-2.612183163,51.4549762
37,E01035447,6f5b9dad-314f-4f96-a53c-f0baaf18265a,-1.379880583,50.89214448
38,E01003526,564d45ab-5b41-4333-a784-db2d82c7e2be,0.051332728,51.531081
39,E01024383,749fa56f-655c-4c5b-b970-3590aa4e2b8c,0.519644764,51.28439887
40,E01021153,d70882be-8cc1-4f1c-93cb-9a8258cbd3ca,0.170708903,51.04996967
41,E01021222,ecfbb337-dcfe-48f8-87c2-c58b8c9b9510,0.100832715,50.96702713
42,E01014483,51d53b99-19d5-4927-a97e-d4911fa41e78,-2.352984014,51.37681224
43,E01001887,5b4c33ff-552e-43ba-aaa1-fca5a759b609,-0.217286733,51.4841202
44,E01023973,c54dcd89-559e-4d38-ad41-022c623d7d08,0.886685046,51.13797451
45,E01015343,678cf19f-fd22-453c-9ef3-6c225b783845,-1.860685783,50.75310127
46,E01029281,b516179b-9244-4c4e-a3bf-ff60c04c0d1c,-3.079450627,51.01093956
47,E01024660,279a9be1-a40d-4079-ae9c-5a88120c6f5e,1.400960999,51.38938715
48,E01003679,75517b31-6db4-4616-9532-d97e92fbe0b5,0.058908015,51.59027164
49,E01031351,ba03a198-5e30-4163-b1d9-3ceb8c78d5f2,-0.241631329,50.8436471
50,E01002209,215c8652-6fc0-46c4-a0fd-25fca02fdd17,-0.372070845,51.57733231
51,E01003033,72504e92-9241-4a58-bcee-3f1874a5c0dc,-0.138002921,51.45626597
52,E01021130,906c0477-a1b5-49ce-95e0-e1379a7539c1,0.465426856,50.85202531
53,E01002396,89dc3e81-2d60-4481-954a-df7822b8ef0c,-0.402609155,51.51911808
54,E01020111,4aef783f-c8c7-406e-a2d8-4156852d3e49,-4.12134978,51.20590714
55,E01004471,a40bd39c-c53a-4e49-aa8a-6d3c59917ef5,-0.001471704,51.58867475
56,E01000561,eb47ee6d-082d-4875-abcb-1928f8f503ca,-0.207069114,51.54860171
57,E01014577,8c136428-69ed-4cd0-ab60-9e15b68f1bcb,-2.552219843,51.48472052
58,E01000008,39755709-3069-47ef-b83c-874c6b32b87d,0.07118568,51.5408623
59,E01034581,ad56b675-a4a8-4683-9488-68f8606cbf89,-0.175939936,51.41518483
60,E01030679,2978a8f1-0696-448b-8c69-1f7a5a2ce6fc,-0.538959194,51.36355197
61,E01015341,b20a5883-301b-49dd-9d0d-037c5ac835d2,-1.825701082,50.75211039
62,E01015299,451882ae-f71a-48a4-a632-39c494cf976c,-1.79508941,50.72942606
63,E01016469,47e9d0f2-e268-4118-88b3-4ebb6d8bac5a,-0.64369387,51.51807874
64,E01020253,63d0fb91-5251-46e6-9b3a-7e41e35be4c7,-3.594234813,50.55618052
65,E01022891,532899c4-dd61-491b-905c-44ecd4290f30,-0.816460123,51.33693796
66,E01033381,e334d551-de5e-4d93-8c8a-b448cd2a9e10,-1.10312253,50.80042319
67,E01024821,0f1a3659-5e95-4443-862d-b1aafd3bc5ef,0.27496351,51.12995627
68,W01000461,205abce3-aa73-408a-ab25-1c8364c12a63,-3.272400425,52.76589457
69,E01000489,91421090-bf6a-41e9-bf80-5d3e7a7c78c9,-0.225058425,51.54369343
70,E01017316,e45cc9a7-7487-4f00-b49d-68377afd7ba4,-1.323306617,50.75475257
71,E01001046,32917295-1bce-4420-a112-14e285731125,-0.083154837,51.37188201
72,E01001840,a7391702-3f78-4501-8dcf-f67552283a14,-0.049767238,51.5406793
73,E01004008,2aa92053-619d-4ece-af95-03a0d7fb73ab,-0.067278848,51.47600556
74,E01001163,f6d6912d-2ec0-44a5-8ff2-e2084d175a2b,-0.103177402,51.4205751
75,E01024267,468b6225-5ada-4574-93bd-7da48494cb9c,0.463296763,51.42584277
76,E01009477,a52cc2bf-8bc6-4827-a7e1-cba3d6496825,-1.823770662,52.48227621
77,E01001200,b1b3f881-4b22-4fcc-a0ab-e00f78489c19,-0.264009657,51.51029297
78,E01024729,e37f7bee-8047-4753-9c18-5dd6b7ffe752,0.283610602,51.2088853
79,E01014978,30452d19-e5e5-423d-8dcd-8b43b0819752,-2.535911754,51.51912626
80,E01009041,57f7ba56-fcd6-428a-a2df-932d204e7f22,-1.839609377,52.41634252
81,E01030878,b1798bcb-3c36-46c7-8a70-4a1769a79706,-0.697174398,51.18207224
82,E01031816,375bc5a1-a15a-452a-b42e-7b8eb6ba6b6c,-0.400902166,50.81622861
83,E01002244,9fd6e663-11f7-4536-b781-c3a0fe746bcc,0.168647454,51.57808492
84,E01000324,914b6ceb-69ed-441e-905c-b18d9465a94a,-0.163836674,51.6136571
85,E01015027,ac286bc6-4836-4375-884b-5377fe5e8e00,-4.133069764,50.41993182
86,E01014841,0c24f14e-76d7-46ee-98a6-09a1c3a7670a,-2.989264245,51.35479582
87,E01009161,4cc03c92-2b61-42ed-aaa3-10aa9b2abcc4,-2.027080101,52.40241236
88,E01031673,e7703a29-3151-4b56-a075-ed4393181862,-0.28869537,51.07779546
89,E01016626,86e6e41a-efbc-445e-90fe-380007306249,-0.842341525,51.4106916
90,E01004649,41c12db8-7148-43f5-bda4-dca9ae8db694,-0.175294898,51.53593581
91,E01033728,29d163ef-68ac-45ac-a077-e4f00dbae8cf,-0.020716824,51.48318744
92,W01001459,963a18d4-f225-4273-80aa-26c01236af11,-3.213977581,51.77609378
93,E01021108,3d3dec0b-6748-496a-9cfe-50fbf819a45a,0.459983867,50.84481201
94,E01023985,38929588-82d2-4978-9350-76cba0b2f214,0.803921569,51.21475481
95,E01014574,4d093218-f106-4a2f-8762-0faff3d0f647,-2.559406065,51.47206347
96,E01030937,c92a59ed-1efc-478d-b89d-764eb73d9121,-0.649580531,51.17304591
97,E01004659,e55353e7-569c-4dab-a238-aa87d91d5bd5,-0.16294654,51.52420267
98,E01030430,47aa541c-2080-4350-aadd-38af7114d77d,-0.719866296,51.26065245
99,E01019905,87842a3e-3045-4e20-860d-ff3aacc0ad0c,-3.38658303,50.64230186
100,E01032627,d6c2d79a-48ae-402d-8419-4e967a8fb321,-2.707988354,51.15064761
101,E01017307,4c369f90-28dd-4ccf-95db-9e7985b0a5b4,-1.28254402,50.75801873
